Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x6"" (10.2x15.2cm)",,Sample2,MANTLEBEAM2-53,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x3"" (12.7x7.6cm)",,3ft (91.4cm),MANTLEBEAM2-54,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x3"" (12.7x7.6cm)",,3.5ft (106.7cm),MANTLEBEAM2-55,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x3"" (12.7x7.6cm)",,4ft (121.9cm),MANTLEBEAM2-56,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x3"" (12.7x7.6cm)",,4.5ft (137.2cm),MANTLEBEAM2-57,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x3"" (12.7x7.6cm)",,5ft (152.4cm),MANTLEBEAM2-58,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x3"" (12.7x7.6cm)",,5.5ft (167.6cm),MANTLEBEAM2-59,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x3"" (12.7x7.6cm)",,6ft (182.9cm),MANTLEBEAM2-60,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x3"" (12.7x7.6cm)",,6.5ft (198.1cm),MANTLEBEAM2-61,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x3"" (12.7x7.6cm)",,Sample2,MANTLEBEAM2-62,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x4"" (12.7x10.2cm)",,3ft (91.4cm),MANTLEBEAM2-63,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x4"" (12.7x10.2cm)",,3.5ft (106.7cm),MANTLEBEAM2-64,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x4"" (12.7x10.2cm)",,4ft (121.9cm),MANTLEBEAM2-65,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x4"" (12.7x10.2cm)",,4.5ft (137.2cm),MANTLEBEAM2-66,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x4"" (12.7x10.2cm)",,5ft (152.4cm),MANTLEBEAM2-67,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x4"" (12.7x10.2cm)",,5.5ft (167.6cm),MANTLEBEAM2-68,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x4"" (12.7x10.2cm)",,6ft (182.9cm),MANTLEBEAM2-69,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x4"" (12.7x10.2cm)",,6.5ft (198.1cm),MANTLEBEAM2-70,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x4"" (12.7x10.2cm)",,Sample2,MANTLEBEAM2-71,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x5"" (12.7x12.7cm)",,3ft (91.4cm),MANTLEBEAM2-72,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x5"" (12.7x12.7cm)",,3.5ft (106.7cm),MANTLEBEAM2-73,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x5"" (12.7x12.7cm)",,4ft (121.9cm),MANTLEBEAM2-74,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x5"" (12.7x12.7cm)",,4.5ft (137.2cm),MANTLEBEAM2-75,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x5"" (12.7x12.7cm)",,5ft (152.4cm),MANTLEBEAM2-76,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x5"" (12.7x12.7cm)",,5.5ft (167.6cm),MANTLEBEAM2-77,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x5"" (12.7x12.7cm)",,6ft (182.9cm),MANTLEBEAM2-78,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x5"" (12.7x12.7cm)",,6.5ft (198.1cm),MANTLEBEAM2-79,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x5"" (12.7x12.7cm)",,Sample2,MANTLEBEAM2-80,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x6"" (12.7x15.2cm)",,3ft (91.4cm),MANTLEBEAM2-81,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x6"" (12.7x15.2cm)",,3.5ft (106.7cm),MANTLEBEAM2-82,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x6"" (12.7x15.2cm)",,4ft (121.9cm),MANTLEBEAM2-83,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x6"" (12.7x15.2cm)",,4.5ft (137.2cm),MANTLEBEAM2-84,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x6"" (12.7x15.2cm)",,5ft (152.4cm),MANTLEBEAM2-85,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x6"" (12.7x15.2cm)",,5.5ft (167.6cm),MANTLEBEAM2-86,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"5""x6"" (12.7x15.2cm)",,6ft (182.9cm),MANTLEBEAM2-87,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
